"year","country","conditionality","conditions","sanctions","occup","wage","oth","jsr","vol","ref","rep","fail"
1986,"Denmark",0.33,0.38,0.29,0,0.833333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.5,0
1987,"Denmark",0.33,0.38,0.29,0,0.833333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.5,0
1988,"Denmark",0.33,0.38,0.29,0,0.833333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.5,0
1989,"Denmark",0.4,0.54,0.29,0.333333333333333,0.833333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0
1990,"Denmark",0.4,0.54,0.29,0.333333333333333,0.833333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0
1991,"Denmark",0.4,0.54,0.29,0.333333333333333,0.833333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0
1992,"Denmark",0.4,0.54,0.29,0.333333333333333,0.833333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0
1993,"Denmark",0.41,0.58,0.29,0.333333333333333,1,0.5,0.5,0.333333333333333,0.333333333333333,0.5,0
1994,"Denmark",0.41,0.58,0.29,0.333333333333333,1,0.5,0.5,0.333333333333333,0.333333333333333,0.5,0
1995,"Denmark",0.41,0.58,0.29,0.333333333333333,1,0.5,0.5,0.333333333333333,0.333333333333333,0.5,0
1996,"Denmark",0.41,0.58,0.29,0.333333333333333,1,0.5,0.5,0.333333333333333,0.333333333333333,0.5,0
1997,"Denmark",0.43,0.62,0.29,0.5,1,0.5,0.5,0.333333333333333,0.333333333333333,0.5,0
1998,"Denmark",0.45,0.71,0.29,0.666666666666667,1,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.5,0
1999,"Denmark",0.45,0.71,0.29,0.666666666666667,1,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.5,0
2000,"Denmark",0.45,0.71,0.29,0.666666666666667,1,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.5,0
2001,"Denmark",0.44,0.67,0.29,0.666666666666667,1,0.5,0.5,0.333333333333333,0.333333333333333,0.5,0
2002,"Denmark",0.44,0.67,0.29,0.666666666666667,1,0.5,0.5,0.333333333333333,0.333333333333333,0.5,0
